chainage_m,x_m,y_m,lon,lat,elevation_m,elevation_smooth_m,dem_source
6411.712617333904,355312.73413921165,6354280.171864989,25.452269286778638,-32.94019545913591,679.0,679.0,OpenTopoData srtm30m
6441.712617334032,355308.1554073712,6354250.523336953,25.452215664809287,-32.940462198118006,678.0,678.0,OpenTopoData srtm30m
6471.710586347525,355302.57988823316,6354221.048063735,25.452151410304843,-32.940727242721245,678.0,678.0,OpenTopoData srtm30m
6501.681773703444,355298.84634211066,6354191.310331728,25.4521068118186,-32.940994897964394,678.0,678.0,OpenTopoData srtm30m
6531.6817737027895,355295.976109046,6354161.447951346,25.45207142556079,-32.941263791539306,677.0,677.0,OpenTopoData srtm30m
6561.655908687499,355295.8828855449,6354131.47396133,25.452065718457288,-32.94153405945955,677.0,677.0,OpenTopoData srtm30m
6591.38872801718,355300.1634835509,6354102.050891708,25.452106871018866,-32.94179993918041,678.0,678.0,OpenTopoData srtm30m
6621.388728017554,355308.5338771811,6354073.242273023,25.45219185629651,-32.942060820171044,678.0,678.0,OpenTopoData srtm30m
6651.016511247641,355321.91731138906,6354046.809542784,25.45233082456427,-32.94230094150613,678.0,678.0,OpenTopoData srtm30m
6679.837214840569,355340.02113499184,6354024.384455793,25.452520902925997,-32.94250555045538,679.0,678.0,OpenTopoData srtm30m
6709.837214840601,355369.9463996639,6354026.500710576,25.452841255410075,-32.94249043161571,678.0,679.0,OpenTopoData srtm30m
6739.837214840567,355399.871664336,6354028.616965358,25.453161607819176,-32.94247531195104,681.0,681.0,OpenTopoData srtm30m
6769.797836304937,355429.7297977947,6354031.092991387,25.45348129873981,-32.94245693845748,684.0,682.0,OpenTopoData srtm30m
6799.797836304936,355458.4045257859,6354039.911153022,25.45378932980462,-32.9423812194152,682.0,682.0,OpenTopoData srtm30m
6829.797836304935,355487.07925377705,6354048.729314658,25.45409736037303,-32.94230549959676,681.0,681.0,OpenTopoData srtm30m
6859.79783630499,355515.75398176827,6354057.5474762935,25.45440539044503,-32.94222977900216,681.0,681.0,OpenTopoData srtm30m
6889.7274620581375,355545.3904328201,6354061.72638366,25.454722976838227,-32.94219601779494,681.0,681.0,OpenTopoData srtm30m
6919.7274620581475,355575.2075744913,6354065.033657849,25.455042358607407,-32.942170139335765,679.0,679.0,OpenTopoData srtm30m
6949.238095665777,355604.4008937792,6354060.717686941,25.455353873672212,-32.942212917690355,677.0,677.0,OpenTopoData srtm30m
