dam_idx,water_start_idx,crest_elevation_m,ponded_length_m,mean_centreline_depth_m,max_centreline_depth_m,upstream_bed_rise_m,dam_chainage_m,lon,lat,bed_elevation_m
318,308,664.5,299.66257578070326,1.1501252082487636,2.5,1.0,9451.087521676645,25.452233300160596,-32.96169939005796,663.0
425,415,646.5,299.5281036945744,3.4510332546225615,4.5,1.0,12649.73629989592,25.470410529114872,-32.9609930007008,645.0
474,464,636.5,299.3392359180034,2.6491083026625883,3.5,1.0,14116.80107303544,25.476078053372724,-32.96971394884339,635.0
62,52,704.5,299.3302533880071,1.4993056681690342,2.5,0.0,1815.9620582333575,25.426407334261967,-32.93315053221557,703.0
162,152,689.5,299.2894323645032,1.25030099054272,1.5,1.0,4798.707277662716,25.44280808733953,-32.93533895053389,688.0
460,450,640.5,299.17760337933396,1.7495618235456518,2.5,1.0,13697.82303540411,25.477210462993725,-32.966185115833966,639.0
280,270,671.5,299.1511010632594,0.949062954678142,1.5,1.0,8313.134310384992,25.451778069210462,-32.951872627438064,670.0
331,321,662.5,299.06860622865133,1.0497190626213793,1.5,1.0,9836.171944231806,25.4494725256736,-32.96400349425549,661.0
126,116,694.5,298.86546572094403,1.901145286472411,2.5,0.0,3720.5560659126536,25.438372620638567,-32.943436678099005,693.0
266,256,675.5,298.46183701505197,2.9579386244091834,4.5,1.0,7894.155871580533,25.452891044027062,-32.948238084976175,674.0
107,97,696.5,297.19074375874743,0.7491819185485625,1.5,1.0,3153.8961795141627,25.4328859039159,-32.942054164811516,695.0
